State,No.,Facility Name,Full Address,Phone Number,District
Johor,1,KD Air Bemban,"KD Air Bemban, Batu 25 Jalan Air Hitam, 81020, Kulai, Johor",07-6562199,Kulai
Johor,2,KD Air Tawar 3 (Felda),"KD Air Tawar 3 (Felda), Felda Air Tawar 3, 81900, Kota Tinggi, Johor",07-8932948,Kota Tinggi
Johor,3,KD Air Tawar 4 (Felda),"KD Air Tawar 4 (Felda), Kota Tinggi, 81900, Kota Tinggi, Johor",07-8952877,Kota Tinggi
Johor,4,KD Air Tawar I (Felda),"KD Air Tawar I (Felda), Felda Air Tawar 1, 81900, Kota Tinggi, Johor",07-8952671,Kota Tinggi
Johor,5,KD Antoi,"KD Antoi, Jln Antoi, Majidee Baru, 81100, Johor Bahru, Johor",07-3355125,Johor Bahru
Johor,6,KD Aping Barat (Felda),"KD Aping Barat (Felda), Felda Aping Barat, 81900, Kota Tinggi, Johor",07-8911478,Kota Tinggi
Johor,7,KD Aping Timur (Felda),"KD Aping Timur (Felda), Felda Aping Timur, 81900, Kota Tinggi, Johor",07-8911477,Kota Tinggi
Johor,8,KD Assam Bubok,"KD Assam Bubok, Kampong Asam Bubok, 83000, Batu Pahat, Johor",07-4545900,Batu Pahat
Johor,9,KD Bakar Batu,"KD Bakar Batu, JKR 3302, Jln Sekolah, Bakar Batu, 80150, Johor Bahru, Johor",07-3315572,Johor Bahru
Johor,10,KD Balai Badang,"KD Balai Badang, Kampung Balai Badang, Batu Anam, 85000, Segamat, Johor",07-9363482,Segamat
Johor,11,KD Batu 18 1/2 Air Hitam,"KD Batu 18 1/2 Air Hitam, Bt 18 1/2 Air Hitam Muar, 84060, Muar, Johor",07-4211932,Muar
Johor,12,KD Batu 23 Pagoh,"KD Batu 23 Pagoh, JKR 2294 Kg Hj. Asari Bt. 23 Pagoh, 84600, Muar, Johor",06-9712414,Muar
Johor,13,KD Batu 27 Lenga,"KD Batu 27 Lenga, JKR 3811 Kg Baru Bt 28 Lega, 84040, Muar, Johor",06-9712309,Muar
Johor,14,KD Batu 28 Lenga,"KD Batu 28 Lenga, JKR 1834 Bt. 28 Lenga, 84600, Muar, Johor",06-9712599,Muar
Johor,15,KD Batu 31 Lenga,"KD Batu 31 Lenga, JKR 1078 Kg Bt. 31 Jln Yacob Lenga, 84040, Muar, Johor",06-9712416,Muar
Johor,16,KD Batu 4,"KD Batu 4, Jalan Tun Habab, 81900, Kota Tinggi, Johor",07-8821599,Kota Tinggi
Johor,17,KD Batu Hampar,"KD Batu Hampar, Jln Parit Hj Mohammad, Bt Hampar Ayer Baloi, 82100, Pontian, Johor",07-6988743,Pontian
Johor,18,KD Batu Putih,"KD Batu Putih, Kg Batu Putih Simpang Lima, 83000, Batu Pahat, Johor",07-4130122,Batu Pahat
