State,No.,Facility Name,Full Address,Phone Number
Johor,1,KD Air Bemban,"KD Air Bemban, Batu 25 Jalan Air Hitam, 81020, Kulai, Johor",07-6562199
Johor,2,KD Air Tawar 3 (Felda),"KD Air Tawar 3 (Felda), Felda Air Tawar 3, 81900, Kota Tinggi, Johor",07-8932948
Johor,3,KD Air Tawar 4 (Felda),"KD Air Tawar 4 (Felda), Kota Tinggi, 81900, Kota Tinggi, Johor",07-8952877
Johor,4,KD Air Tawar I (Felda),"KD Air Tawar I (Felda), Felda Air Tawar 1, 81900, Kota Tinggi, Johor",07-8952671
Johor,5,KD Antoi,"KD Antoi, Jln Antoi, Majidee Baru, 81100, Johor Bahru, Johor",07-3355125
Johor,6,KD Aping Barat (Felda),"KD Aping Barat (Felda), Felda Aping Barat, 81900, Kota Tinggi, Johor",07-8911478
Johor,7,KD Aping Timur (Felda),"KD Aping Timur (Felda), Felda Aping Timur, 81900, Kota Tinggi, Johor",07-8911477
Johor,8,KD Assam Bubok,"KD Assam Bubok, Kampong Asam Bubok, 83000, Batu Pahat, Johor",07-4545900
Johor,9,KD Bakar Batu,"KD Bakar Batu, JKR 3302, Jln Sekolah, Bakar Batu, 80150, Johor Bahru, Johor",07-3315572
Johor,10,KD Balai Badang,"KD Balai Badang, Kampung Balai Badang, Batu Anam, 85000, Segamat, Johor",07-9363482
Johor,11,KD Batu 18 1/2 Air Hitam,"KD Batu 18 1/2 Air Hitam, Bt 18 1/2 Air Hitam Muar, 84060, Muar, Johor",07-4211932
Johor,12,KD Batu 23 Pagoh,"KD Batu 23 Pagoh, JKR 2294 Kg Hj. Asari Bt. 23 Pagoh, 84600, Muar, Johor",06-9712414
Johor,13,KD Batu 27 Lenga,"KD Batu 27 Lenga, JKR 3811 Kg Baru Bt 28 Lega, 84040, Muar, Johor",06-9712309
Johor,14,KD Batu 28 Lenga,"KD Batu 28 Lenga, JKR 1834 Bt. 28 Lenga, 84600, Muar, Johor",06-9712599
Johor,15,KD Batu 31 Lenga,"KD Batu 31 Lenga, JKR 1078 Kg Bt. 31 Jln Yacob Lenga, 84040, Muar, Johor",06-9712416
Johor,16,KD Batu 4,"KD Batu 4, Jalan Tun Habab, 81900, Kota Tinggi, Johor",07-8821599
Johor,17,KD Batu Hampar,"KD Batu Hampar, Jln Parit Hj Mohammad, Bt Hampar Ayer Baloi, 82100, Pontian, Johor",07-6988743
Johor,18,KD Batu Putih,"KD Batu Putih, Kg Batu Putih Simpang Lima, 83000, Batu Pahat, Johor",07-4130122
Johor,19,KD Bekoh Belading,"KD Bekoh Belading, Tangkak, Ledang, 84900, Tangkak, Johor",06-5235670
Johor,20,KD Belemam,"KD Belemam, Kampung Pariit Belemam, 83010, Batu Pahat, Johor",07-4153346
Johor,21,KD Belemang,"KD Belemang, Serom, Sungai Mati, 84410, Tangkak, Johor",06-9751925
Johor,22,KD Beroleh,"KD Beroleh, Kg. Beroleh Sungai Gading, 83000, Batu Pahat, Johor",07-4349434
Johor,23,KD Bindu,"KD Bindu,  Kg. Bindu, Tongkang Pecah, 83010, Batu Pahat, Johor",07-4153348
Johor,24,KD Bukit Batu,"KD Bukit Batu, Macap, Simpang Renggam, Kluang, 86200 Johor, 86200, Kluang, Johor","019-7442144 / 
019-7823136"
Johor,25,KD Bukit Kangkar,"KD Bukit Kangkar, Bt 19 1/2 Jalan Muar 84400 Sungai Mati, 84400, Tangkak, Johor",06-9755303
Johor,26,KD Bukit Kepong,"KD Bukit Kepong, JKR 1079 Pekan Bukit Kepong, 84600, Muar, Johor",06-9719541
Johor,27,KD Bukit Mor,"KD Bukit Mor, JKR 111, Jln Mahmood Bukit Mor Parit Jawa, 84150, Muar, Johor",06-9872920
Johor,28,KD Bukit Ramun (Felda),"KD Bukit Ramun (Felda), Felda Bukit Ramun, 81900, Kota Tinggi, Johor",07-8978914
Johor,29,KD Chamek,"KD Chamek, 86000 Kluang, Johor, 86000, Kluang, Johor",07-7813933
Johor,30,KD Felcra Batu 4 1/2 Paloh,"KD Felcra Batu 4 1/2 Paloh,  Kluang, 86000, Kluang, Johor",07-7816333
Johor,31,KD Felcra Bukit Kepong,"KD Felcra Bukit Kepong, Felcra Bukit Kepong, 84040, Muar, Johor",06-9237102
Johor,32,KD Felda Air Hitam,"KD Felda Air Hitam, 86000 Kluang, Johor, 86000, Kluang, Johor",07-7765343
Johor,33,KD Felda Bukit Batu,"KD Felda Bukit Batu, JKR 3736, Jalan Klinik, Kulai, 81020, Kulai, Johor","07-6511835 / 
07-6540514"
Johor,34,KD Felda Bukit Permai,"KD Felda Bukit Permai, Jalan Sekolah Kulai, 81000, Kulai, Johor",07-7511592
Johor,35,KD Felda Chempelak,"KD Felda Chempelak, Felda Chempelak, Labis, 85300, Segamat, Johor",07-9237118
Johor,36,KD Felda Endau,"KD Felda Endau, Mersing, 86800, Mersing, Johor",07-7944353
Johor,37,KD Felda Inas,"KD Felda Inas, Jalan Titiwangsa Kulai, 81000, Kulai, Johor",07-8964011
Johor,38,KD Felda Kahang Barat,"KD Felda Kahang Barat, Kahang Barat, Kluang, 86007, Kluang, Johor",07-7867311
Johor,39,KD Felda Kemelah,"KD Felda Kemelah, Felda Kemelah, Labis, 85300, Segamat, Johor",07-9451637
Johor,40,KD Felda Layang-Layang,"KD Felda Layang-Layang, Jalan Terkukur, Felda Layang-layang, 86200 Simpang Renggam, 86200, Kluang, Johor",07-7552133
Johor,41,KD Felda Medoi,"KD Felda Medoi, Felda Medoi, Segamat, 85000, Segamat, Johor",07-9320973
Johor,42,KD Felda Redong,"KD Felda Redong, Felda Redong, Labis, 85300, Segamat, Johor",07-9291733
Johor,43,KD Felda Sri Jaya (Felda),"KD Felda Sri Jaya (Felda), Jementah, Ledang, 85220, Tangkak, Johor",06-9776899
Johor,44,KD Gelang Cincin,"KD Gelang Cincin, Kampung Gelang Cincin, 85000, Segamat, Johor",07-9325770
Johor,45,KD Gemas Baru,"KD Gemas Baru, Gemas Baru, Batu Anam, 85100, Segamat, Johor",07-9485080
Johor,46,KD Gembut,"KD Gembut, Jalan Tanjung Sedili, 81900, Kota Tinggi, Johor",07-8918160
