date,state,district,type,beds
1/1/2015,Malaysia,All,all,45087
1/1/2015,Malaysia,All,hospital_moh,36447
1/1/2015,Malaysia,All,hospital_non_moh,3698
1/1/2015,Malaysia,All,special_medical_institution,4942
1/1/2016,Malaysia,All,all,45678
1/1/2016,Malaysia,All,hospital_moh,37293
1/1/2016,Malaysia,All,hospital_non_moh,3683
1/1/2016,Malaysia,All,special_medical_institution,4702
1/1/2017,Malaysia,All,all,46054
1/1/2017,Malaysia,All,hospital_moh,37330
1/1/2017,Malaysia,All,hospital_non_moh,3892
1/1/2017,Malaysia,All,special_medical_institution,4832
1/1/2018,Malaysia,All,all,46611
1/1/2018,Malaysia,All,hospital_moh,37609
1/1/2018,Malaysia,All,hospital_non_moh,4187
1/1/2018,Malaysia,All,special_medical_institution,4815
1/1/2019,Malaysia,All,all,46988
1/1/2019,Malaysia,All,hospital_moh,38131
1/1/2019,Malaysia,All,hospital_non_moh,4052
1/1/2019,Malaysia,All,special_medical_institution,4805
1/1/2020,Malaysia,All,all,48305
1/1/2020,Malaysia,All,hospital_moh,38543
1/1/2020,Malaysia,All,hospital_non_moh,4188
1/1/2020,Malaysia,All,special_medical_institution,5574
1/1/2021,Malaysia,All,all,49781
1/1/2021,Malaysia,All,hospital_moh,39263
1/1/2021,Malaysia,All,hospital_non_moh,4932
1/1/2021,Malaysia,All,special_medical_institution,5586
1/1/2022,Malaysia,All,all,49985
1/1/2022,Malaysia,All,hospital_moh,39581
1/1/2022,Malaysia,All,hospital_non_moh,4818
1/1/2022,Malaysia,All,special_medical_institution,5586
1/1/2015,Johor,All Districts,all,4968
1/1/2016,Johor,All Districts,all,5185
1/1/2017,Johor,All Districts,all,5185
1/1/2018,Johor,All Districts,all,5200
1/1/2019,Johor,All Districts,all,5200
1/1/2020,Johor,All Districts,all,5270
1/1/2021,Johor,All Districts,all,5278
1/1/2022,Johor,All Districts,all,5433
1/1/2015,Johor,All Districts,hospital_moh,3836
1/1/2016,Johor,All Districts,hospital_moh,4053
1/1/2017,Johor,All Districts,hospital_moh,4053
1/1/2018,Johor,All Districts,hospital_moh,4068
1/1/2019,Johor,All Districts,hospital_moh,4068
1/1/2020,Johor,All Districts,hospital_moh,4138
1/1/2021,Johor,All Districts,hospital_moh,4146
1/1/2022,Johor,All Districts,hospital_moh,4301
1/1/2015,Johor,All Districts,hospital_non_moh,0
1/1/2016,Johor,All Districts,hospital_non_moh,0
1/1/2017,Johor,All Districts,hospital_non_moh,0
1/1/2018,Johor,All Districts,hospital_non_moh,0
1/1/2019,Johor,All Districts,hospital_non_moh,0
1/1/2020,Johor,All Districts,hospital_non_moh,0
1/1/2021,Johor,All Districts,hospital_non_moh,0
1/1/2022,Johor,All Districts,hospital_non_moh,0
1/1/2015,Johor,All Districts,special_medical_institution,1132
1/1/2016,Johor,All Districts,special_medical_institution,1132
1/1/2017,Johor,All Districts,special_medical_institution,1132
1/1/2018,Johor,All Districts,special_medical_institution,1132
1/1/2019,Johor,All Districts,special_medical_institution,1132
1/1/2020,Johor,All Districts,special_medical_institution,1132
1/1/2021,Johor,All Districts,special_medical_institution,1132
1/1/2022,Johor,All Districts,special_medical_institution,1132
1/1/2015,Johor,Batu Pahat,all,516
1/1/2016,Johor,Batu Pahat,all,516
1/1/2017,Johor,Batu Pahat,all,516
1/1/2018,Johor,Batu Pahat,all,516
1/1/2019,Johor,Batu Pahat,all,516
1/1/2020,Johor,Batu Pahat,all,546
1/1/2021,Johor,Batu Pahat,all,554
1/1/2022,Johor,Batu Pahat,all,610
1/1/2015,Johor,Batu Pahat,hospital_moh,516
1/1/2016,Johor,Batu Pahat,hospital_moh,516
1/1/2017,Johor,Batu Pahat,hospital_moh,516
1/1/2018,Johor,Batu Pahat,hospital_moh,516
1/1/2019,Johor,Batu Pahat,hospital_moh,516
1/1/2020,Johor,Batu Pahat,hospital_moh,546
1/1/2021,Johor,Batu Pahat,hospital_moh,554
1/1/2022,Johor,Batu Pahat,hospital_moh,610
1/1/2015,Johor,Batu Pahat,hospital_non_moh,0
1/1/2016,Johor,Batu Pahat,hospital_non_moh,0
1/1/2017,Johor,Batu Pahat,hospital_non_moh,0
1/1/2018,Johor,Batu Pahat,hospital_non_moh,0
1/1/2019,Johor,Batu Pahat,hospital_non_moh,0
1/1/2020,Johor,Batu Pahat,hospital_non_moh,0
1/1/2021,Johor,Batu Pahat,hospital_non_moh,0
1/1/2022,Johor,Batu Pahat,hospital_non_moh,0
1/1/2015,Johor,Batu Pahat,special_medical_institution,0
1/1/2016,Johor,Batu Pahat,special_medical_institution,0
1/1/2017,Johor,Batu Pahat,special_medical_institution,0
1/1/2018,Johor,Batu Pahat,special_medical_institution,0
1/1/2019,Johor,Batu Pahat,special_medical_institution,0
1/1/2020,Johor,Batu Pahat,special_medical_institution,0
1/1/2021,Johor,Batu Pahat,special_medical_institution,0
1/1/2022,Johor,Batu Pahat,special_medical_institution,0
1/1/2015,Johor,Johor Bahru,all,2825
1/1/2016,Johor,Johor Bahru,all,3042
1/1/2017,Johor,Johor Bahru,all,3042
1/1/2018,Johor,Johor Bahru,all,3042
1/1/2019,Johor,Johor Bahru,all,3042
1/1/2020,Johor,Johor Bahru,all,3042
