state,year,population,population_senior,beds,beds_per_1000,beds_per_1000_senior
Johor,2015,3610300,347800,4968,1,14
Johor,2016,3651800,363800,5185,1,14
Johor,2017,3697000,380300,5185,1,14
Johor,2018,3749400,397700,5200,1,13
Johor,2019,3761200,412800,5200,1,13
Johor,2020,4009700,401800,5270,1,13
Johor,2021,4020000,420000,5278,1,13
Johor,2022,4028300,434700,5433,1,12
Kedah,2015,2096500,224700,2653,1,12
Kedah,2016,2119700,234000,2689,1,11
Kedah,2017,2143900,243100,2703,1,11
Kedah,2018,2163000,252500,2673,1,11
Kedah,2019,2173700,262400,2711,1,10
Kedah,2020,2131400,257300,2702,1,11
Kedah,2021,2151700,270400,2755,1,10
Kedah,2022,2163100,277200,2762,1,10
Kelantan,2015,1760600,160300,2509,1,16
Kelantan,2016,1796700,167100,2589,1,15
Kelantan,2017,1829000,173600,2590,1,15
Kelantan,2018,1860500,180500,2659,1,15
Kelantan,2019,1883800,187299,2787,1,15
Kelantan,2020,1792500,180500,2786,2,15
Kelantan,2021,1812300,189600,2812,2,15
Kelantan,2022,1830600,195200,2970,2,15
Melaka,2015,889000,97200,1389,2,14
Melaka,2016,901100,101400,1420,2,14
Melaka,2017,913100,105800,1420,2,13
Melaka,2018,922400,109900,1420,2,13
Melaka,2019,928400,114200,1429,2,13
Melaka,2020,998400,97200,1429,1,15
Melaka,2021,1004500,101400,1439,1,14
Melaka,2022,1008600,104700,1454,1,14
Negeri Sembilan,2015,1088800,116700,1825,2,16
Negeri Sembilan,2016,1099300,122600,1825,2,15
Negeri Sembilan,2017,1114000,128400,1832,2,14
Negeri Sembilan,2018,1122900,134000,1825,2,14
Negeri Sembilan,2019,1126200,139500,1898,2,14
Negeri Sembilan,2020,1200000,127100,1977,2,16
Negeri Sembilan,2021,1204200,135500,1977,2,15
Negeri Sembilan,2022,1207900,141800,1977,2,14
Pahang,2015,1607900,153900,2158,1,14
Pahang,2016,1626700,161000,2316,1,14
Pahang,2017,1647000,168300,2391,1,14
Pahang,2018,1664700,175499,2646,2,15
Pahang,2019,1671400,182700,2581,2,14
Pahang,2020,1591300,149900,2646,2,18
Pahang,2021,1601500,158000,2611,2,17
Pahang,2022,1614300,163500,2681,2,16
Perak,2015,2466900,337300,5762,2,17
Perak,2016,2482100,349500,5542,2,16
Perak,2017,2493200,360500,5542,2,15
Perak,2018,2503500,372600,5542,2,15
Perak,2019,2508800,385200,5542,2,14
Perak,2020,2496000,335000,5542,2,17
Perak,2021,2515800,351500,5924,2,17
Perak,2022,2514400,362300,5887,2,16
Perlis,2015,248500,30300,408,2,13
Perlis,2016,251000,31300,408,2,13
Perlis,2017,252000,32200,508,2,16
Perlis,2018,253500,33300,508,2,15
Perlis,2019,254000,34200,508,2,15
Perlis,2020,284900,32900,508,2,15
Perlis,2021,287600,34100,508,2,15
