No,Hospital Name,Address,City,State,View Link,Telephone,Fax
1,Hospital Alor Gajah,"Pejabat Hospital, Hospital Alor Gajah",Alor Gajah,Melaka,https://www.moh.gov.my/index.php/database_stores/store_view_page/82/30,06-5562333,06-5567392
2,Hospital Ampang,Jalan Mewah Utara,Ampang,Selangor,https://www.moh.gov.my/index.php/database_stores/store_view_page/82/116,03-42896000,03-42954666
3,Hospital Bahagia Ulu Kinta,Tanjong Rambutan,Ulu Kinta,Perak,https://www.moh.gov.my/index.php/database_stores/store_view_page/82/134,05-5332333,05-5331350
4,Hospital Balik Pulau,Balik Pulau,Balik Pulau,Pulau Pinang,https://www.moh.gov.my/index.php/database_stores/store_view_page/82/64,04-8669333,04-8666058
5,Hospital Baling,Jala Hospital,Baling,Kedah,https://www.moh.gov.my/index.php/database_stores/store_view_page/82/12,04-4701333,04-4701160
6,Hospital Banting,Jalan Sultan Alam Shah,Banting,Selangor,https://www.moh.gov.my/index.php/database_stores/store_view_page/82/120,03-31871333,03- 31871153
7,Hospital Batu Gajah,Jalan Changkat,Batu Gajah,Perak,https://www.moh.gov.my/index.php/database_stores/store_view_page/82/54,05-3663333,05-3663851
8,Hospital Bau,"Batu 1 ½,  Jalan Bau-Lundu",Bau,Sarawak,https://www.moh.gov.my/index.php/database_stores/store_view_page/82/93,082-763711,082-763716
9,Hospital Beaufort,Peti Surat 40,Beaufort,Sabah,https://www.moh.gov.my/index.php/database_stores/store_view_page/82/70,087-212333,087-211725
10,Hospital Beluran,Karung Berkunci No : 02,Beluran,Sabah,https://www.moh.gov.my/index.php/database_stores/store_view_page/82/71,089-511233/333,089-511242
11,Hospital Bentong,28700 Bentong,Bentong,Pahang,https://www.moh.gov.my/index.php/database_stores/store_view_page/82/39,09-2223333,09-2224494
12,Hospital Besut,"Jalan Pasir Akar, Jerteh",Besut,Terengganu,https://www.moh.gov.my/index.php/database_stores/store_view_page/82/124,09-6971130/09-6971200,09-6972762
13,Hospital Betong,Jalan Betong,Betong,Sarawak,https://www.moh.gov.my/index.php/database_stores/store_view_page/82/94,083-472821,083-472664
14,Hospital Bintulu,Jalan Nyabau,Bintulu,Sarawak,https://www.moh.gov.my/index.php/database_stores/store_view_page/82/95,086-255899,086-255866
15,Hospital Bukit Mertajam,"Jalan Kulim, Bukit Mertajam",Bukit Mertajam,Pulau Pinang,https://www.moh.gov.my/index.php/database_stores/store_view_page/82/66,04-5497333,04-5497299
16,Hospital Changkat Melintang,"Lambor Kanan,Parit",Bota,Perak,https://www.moh.gov.my/index.php/database_stores/store_view_page/82/62,05-3761333,05-3761400
17,Hospital Dalat,Jalan Oya-Dalat,Dalat,Sarawak,https://www.moh.gov.my/index.php/database_stores/store_view_page/82/96,084-863213,084-863058
18,Hospital Daro,Jalan Itol,Daro,Sarawak,https://www.moh.gov.my/index.php/database_stores/store_view_page/82/97,084-823620,084-823624
19,Hospital Duchess Of Kent,"KM 3.2, Jalan Utara",Sandakan,Sabah,https://www.moh.gov.my/index.php/database_stores/store_view_page/82/86,089-248 600                     Talian_Kecemasan:089-255 022,089-213 607                        Emel:hdok@moh.gov.my
20,Hospital Dungun,Hospital Dungun,Dungun,Terengganu,https://www.moh.gov.my/index.php/database_stores/store_view_page/82/125,09-8493333,09-8484160
21,"Hospital Enche' Besar Hajjah Kalsom, Kluang","KM 5, Jln Kota Tinggi",Kluang,Johor,https://www.moh.gov.my/index.php/database_stores/store_view_page/82/4,07-7787000,07-7787128
22,Hospital Gerik,Jalan Intan,Grik,Perak,https://www.moh.gov.my/index.php/database_stores/store_view_page/82/52,05-7911333,05- 7911945
23,Hospital Gua Musang,Bandar Baru,Gua Musang,Kelantan,https://www.moh.gov.my/index.php/database_stores/store_view_page/82/21,09-9121133,09-91212302
24,Hospital Hulu Terengganu,"Batu 23, Jalan Kuala Berang",Kuala Berang,Terengganu,https://www.moh.gov.my/index.php/database_stores/store_view_page/82/126,09-6813333/6813120,09-6813099
25,Hospital Jasin,77000 Jasin,Jasin,Melaka,https://www.moh.gov.my/index.php/database_stores/store_view_page/82/31,06-5294262,06-5295262
26,Hospital Jelebu,71600 Jelebu,Jelebu,Negeri Sembilan,https://www.moh.gov.my/index.php/database_stores/store_view_page/82/33,06-6136355,06-6137531
27,Hospital Jeli,17600 Jeli,Jeli,Kelantan,https://www.moh.gov.my/index.php/database_stores/store_view_page/82/22,09-9440092,09-9440068
28,Hospital Jempol,Bandar Seri Jempol,Bandar Seri Jempol,Negeri Sembilan,https://www.moh.gov.my/index.php/database_stores/store_view_page/82/34,06-4592000,06-4581086
29,Hospital Jengka,26400 Bandar Jengka,Maran,Pahang,https://www.moh.gov.my/index.php/database_stores/store_view_page/82/44,09-4662333,09-4663215
30,Hospital Jerantut,27000 Jerantut,Jerantut,Pahang,https://www.moh.gov.my/index.php/database_stores/store_view_page/82/41,09-2663333,09-2661462
31,Hospital Jitra,"Jalan Changlun, Jitra Kedah",Jitra,Kedah,https://www.moh.gov.my/index.php/database_stores/store_view_page/82/15,04-9174333,04-9176346
32,Hospital Kajang,Jalan Semenyih,Kajang,Selangor,https://www.moh.gov.my/index.php/database_stores/store_view_page/82/117,03-89133333,03-87367527
33,Hospital Kampar,Jalan Hospital,Kampar,Perak,https://www.moh.gov.my/index.php/database_stores/store_view_page/82/55,05-4653333,05-4655664
34,Hospital Kanowit,Jalan Kanowit/ Durin,Kanowit,Sarawak,https://www.moh.gov.my/index.php/database_stores/store_view_page/82/98,084-752333,084-752682
35,Hospital Kapit,Jalan Memora,Kapit,Sarawak,https://www.moh.gov.my/index.php/database_stores/store_view_page/82/99,084-796333,084-798333
36,Hospital Kemaman,"Jalan Da' Omar, Cukai",Kemaman,Terengganu,https://www.moh.gov.my/index.php/database_stores/store_view_page/82/127,09-8513333,09-8595512
37,Hospital Keningau,Peti Surat 11,Keningau,Sabah,https://www.moh.gov.my/index.php/database_stores/store_view_page/82/72,087-313000,087-331595
38,Hospital Kepala Batas,"Jalan Bertam, Kepala Batas",Kepala Batas,Pulau Pinang,https://www.moh.gov.my/index.php/database_stores/store_view_page/82/68,04-5793333,04-5791088
39,Hospital Kinabatangan,W.D.T 200,Kinabatangan,Sabah,https://www.moh.gov.my/index.php/database_stores/store_view_page/82/73,089-561858,089-561854
40,Hospital Kota Belud,Peti Surat 159,Kota Belud,Sabah,https://www.moh.gov.my/index.php/database_stores/store_view_page/82/74,088-976333,088-977492
41,Hospital Kota Marudu,Peti Surat 255,Kota Marudu,Sabah,https://www.moh.gov.my/index.php/database_stores/store_view_page/82/78,088-661984,088-663759
42,Hospital Kota Tinggi,Jalan Tun Habah,Kota Tinggi,Johor,https://www.moh.gov.my/index.php/database_stores/store_view_page/82/5,07-8831131/32,07-8831333
43,Hospital Kuala Kangsar,Jalan Sultan Idris Shah 1,Kuala Kangsar,Perak,https://www.moh.gov.my/index.php/database_stores/store_view_page/82/57,05-7763333,05-7769660
44,Hospital Kuala Kubu Bharu,Jalan Hospital,Kuala Kubu Bharu,Selangor,https://www.moh.gov.my/index.php/database_stores/store_view_page/82/118,03-60641333,03- 60643039
45,Hospital Kuala Lipis,27200 K.Lipis,Kuala Lipis,Pahang,https://www.moh.gov.my/index.php/database_stores/store_view_page/82/43,09-3123333,09-3121787
46,Hospital Kuala Lumpur,Jalan Pahang,W.P. Kuala Lumpur,W.P. Kuala Lumpur,https://www.moh.gov.my/index.php/database_stores/store_view_page/82/130,03-26155555,03-26989845
47,Hospital Kuala Nerang,Kuala Nerang,Kuala Nerang,Kedah,https://www.moh.gov.my/index.php/database_stores/store_view_page/82/18,04-7867333,04-7867052
48,Hospital Kuala Penyu,W.D.T. 35,Kuala Penyu,Sabah,https://www.moh.gov.my/index.php/database_stores/store_view_page/82/79,087-853100,087-884212
49,Hospital Kudat,Peti Surat 22,Kudat,Sabah,https://www.moh.gov.my/index.php/database_stores/store_view_page/82/80,088-613333,088-611875
50,Hospital Kulim,"Jalan Mahang, Kulim",Kulim,Kedah,https://www.moh.gov.my/index.php/database_stores/store_view_page/82/16,04-4272733,04-4900760
51,Hospital Kunak,W.D.T. 150,Kunak,Sabah,https://www.moh.gov.my/index.php/database_stores/store_view_page/82/81,089-894100,089-853285
52,Hospital Labuan,Peti Surat 81006,W.P. Labuan,W.P. Labuan,https://www.moh.gov.my/index.php/database_stores/store_view_page/82/131,087-423922/ 423919,087-423928
53,Hospital Lahad Datu,Peti Surat 60065,Lahad Datu,Sabah,https://www.moh.gov.my/index.php/database_stores/store_view_page/82/82,089-895111,089-884670
54,Hospital Langkawi,"Bukit Tekuh,Jalan Padang Maksirat",Langkawi,Kedah,https://www.moh.gov.my/index.php/database_stores/store_view_page/82/17,04-9665333,04-9660121
55,Hospital Lawas,Jalan Hospital,Lawas,Sarawak,https://www.moh.gov.my/index.php/database_stores/store_view_page/82/102,085-283781,085-285993
56,Hospital Limbang,Jalan Pandaruan,Limbang,Sarawak,https://www.moh.gov.my/index.php/database_stores/store_view_page/82/103,085-211200,085-213294
57,Hospital Lundu,Jalan Sekambal,Lundu,Sarawak,https://www.moh.gov.my/index.php/database_stores/store_view_page/82/104,082-735311,082-735055
58,Hospital Machang,Jalan Pasir Puteh,Machang,Kelantan,https://www.moh.gov.my/index.php/database_stores/store_view_page/82/25,09-9741300/301,09-9752470
59,Hospital Marudi,Jalan Pungor,Marudi,Sarawak,https://www.moh.gov.my/index.php/database_stores/store_view_page/82/105,085-755511,085-755217
60,Hospital Melaka,Jalan Mufti Haji Khalil,Melaka,Melaka,https://www.moh.gov.my/index.php/database_stores/store_view_page/82/32,06-2892344,06-2841590
61,Hospital Mersing,Jalan Ismail,Mersing,Johor,https://www.moh.gov.my/index.php/database_stores/store_view_page/82/8,07-7993333,07-7994200
62,Hospital Mesra Bukit Padang,Peti Surat 11342,Kota Kinabalu,Sabah,https://www.moh.gov.my/index.php/database_stores/store_view_page/82/135,088-240984,088-244703
63,Hospital Miri,Jalan Cahaya,Miri,Sarawak,https://www.moh.gov.my/index.php/database_stores/store_view_page/82/106,085-420033,085-416514
64,Hospital Muadzam Shah,26700 Muadzam Shah,Rompin,Pahang,https://www.moh.gov.my/index.php/database_stores/store_view_page/82/47,09-4523333,09-4523055
65,Hospital Mukah,Jalan Haji Mohamed Pauzi,Mukah,Sarawak,https://www.moh.gov.my/index.php/database_stores/store_view_page/82/107,084-871333,084-872212
66,Hospital Orang Asli,"KM 24, Jalan Pahang Lama, 53100 Gombak, Selangor",Gombak,Selangor,https://www.moh.gov.my/index.php/database_stores/store_view_page/82/141,,
67,Hospital Pakar Sultanah Fatimah,Jalan Salleh,Muar,Johor,https://www.moh.gov.my/index.php/database_stores/store_view_page/82/9,06-9521901,06-9526003
68,Hospital Papar,"Peti Surat No. 6,",Papar,Sabah,https://www.moh.gov.my/index.php/database_stores/store_view_page/82/83,088-913333,088-913587
69,Hospital Parit Buntar,Jalan Sempadan,Parit Buntar,Perak,https://www.moh.gov.my/index.php/database_stores/store_view_page/82/53,05-7163333,05-7169675
70,Hospital Pasir Mas,Jalan Meranti,Pasir Mas,Kelantan,https://www.moh.gov.my/index.php/database_stores/store_view_page/82/26,09-7932300,09-7900996
71,Hospital Pekan,26600 Pekan,Pekan,Pahang,https://www.moh.gov.my/index.php/database_stores/store_view_page/82/45,09-4223333,09-4222280
72,Hospital Pendang,"Kampung Manggol Pauh, 06700 Pendang, Kedah",Pendang,Kedah,https://www.moh.gov.my/index.php/database_stores/store_view_page/82/150,04-7251000,
73,Hospital Permai,Jalan Tampoi,Johor Bahru,Johor,https://www.moh.gov.my/index.php/database_stores/store_view_page/82/133,07-2373333,07-2371396
74,Hospital Pitas,Peti Surat 88,Pitas,Sabah,https://www.moh.gov.my/index.php/database_stores/store_view_page/82/84,088-676100,088-611203
75,Hospital Pontian,Jalan Alsagoff,Pontian,Johor,https://www.moh.gov.my/index.php/database_stores/store_view_page/82/10,07-6873333,07-6876211
76,Hospital Port Dickson,"KM 11, Jalan Pantai",Port Dickson,Negeri Sembilan,https://www.moh.gov.my/index.php/database_stores/store_view_page/82/36,06-6487333,06-6625003
77,Hospital Pulau Pinang,Jalan Residensi,Pulau Pinang,Pulau Pinang,https://www.moh.gov.my/index.php/database_stores/store_view_page/82/69,04-2225333,04-2281737
78,Hospital Putrajaya,"Pusat Pentadbiran Kerajaan Persekutuan, presint 7",W.P. Putrajaya,W.P. Putrajaya,https://www.moh.gov.my/index.php/database_stores/store_view_page/82/132,03-83124200,03-88880137
79,Hospital Queen Elizabeth,Karung Berkunci N0.2029,Kota Kinabalu,Sabah,https://www.moh.gov.my/index.php/database_stores/store_view_page/82/76,088-517555,088-318605
80,Hospital Queen Elizabeth II,"Lorong Bersatu, Jalan Damai Luyang, Kota Kinabalu",Kota Kinabalu,Sabah,https://www.moh.gov.my/index.php/database_stores/store_view_page/82/75,088-245249,088-272454
81,Hospital Raja Perempuan Zainab II,Jalan Hospital,Kota Bharu,Kelantan,https://www.moh.gov.my/index.php/database_stores/store_view_page/82/23,09-7452000,09-7486951
82,Hospital Raja Permaisuri Bainun,Jalan Hospital,Ipoh,Perak,https://www.moh.gov.my/index.php/database_stores/store_view_page/82/56,05-2085000 dan 05-2086000,05-2531541
83,Hospital Rajah Charles Brooke Memorial,"Bt 13, Jalan Puncak Borneo, Kota Padawan",Kuching,Sarawak,https://www.moh.gov.my/index.php/database_stores/store_view_page/82/100,082-611123,082-616582
84,Hospital Ranau,Peti Surat 65,Ranau,Sabah,https://www.moh.gov.my/index.php/database_stores/store_view_page/82/85,088-875266,088-875223
85,Hospital Raub,Jalan Tengku Abd Samad,Raub,Pahang,https://www.moh.gov.my/index.php/database_stores/store_view_page/82/46,09-3553333,09-3554331
86,Hospital Rehabilitasi Cheras,"Jalan Yaacob Latif, Bandar Tun Razak Cheras 56000 Kuala Lumpur
W.P. Kuala Lumpur",W.P. Kuala Lumpur,W.P. Kuala Lumpur,https://www.moh.gov.my/index.php/database_stores/store_view_page/82/144,03-91453400,03-91300560
87,Hospital Rompin,"Jalan Kg Kolam Kuala Rompin
26800 Rompin
Pahang",Rompin,Pahang,https://www.moh.gov.my/index.php/database_stores/store_view_page/82/147,09-4141305,09-4141554
